NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,mortality_postlarv,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,weight_feb,itd ,emergence_success,emergence_date ,sex ,Notes 
37,204,1,7,25,8-May,NH,3,0,0,1,3,6,10,26,31,0,0,,,,0.0939,0.0692,0.0696,0.0695,,1,2/14/21,M,
37,206,1,7,25,8-May,NH,5,0,0,2,5,6,12,28,31,0,0,,,,0.0973,0.0652,0.0662,0.0653,,1,2/16/21,M,
37,205,1,7,25,8-May,NH,4,0,0,1,4,6,,,,1,0,14-May,6,3,,,,,,,,,?????
37,207,1,4,25,8-May,NH,6,0,0,2,5,6,12,26,30,0,0,,,,0.0883,0.0787,0.0789,0.078,,1,2/19/21,M,
37,208,1,7,25,8-May,NH,7,0,0,2,5,6,12,26,30,0,1,,,6,0.1108,0.0491,0.0575,0.0629,,0,,,
39,217,1,4,25,11-May,NH,1,1,0,2,4,5,10,31,34,0,0,,,,0.1634,0.1225,0.1203,0.1201,,1,2/16/21,M,
38,209,5,7,37,9-May,C2,1,1,0,,,,,,,1,0,11-May,2,0,,,,,,,,,5/11 died 
38,211,5,7,37,9-May,C2,3,1,0,,,,,,,1,0,11-May,2,0,,,,,,,,,5/11 died
38,212,5,7,37,9-May,C2,4,0,0,3,5,,,,,1,0,15-May,6,2,,,,,,,,,
38,213,5,7,37,9-May,C2,5,0,0,,,,,,,1,0,11-May,2,0,,,,,,,,,5/11 dead deflated
38,214,5,7,37,9-May,C2,6,0,0,,,,,,,1,0,11-May,2,0,,,,,,,,,5/11 dead deflated
38,215,5,7,37,9-May,C2,7,0,0,,,,,,,1,0,11-May,2,0,,,,,,,,,5/11 dead deflated
38,216,5,7,37,9-May,C2,8,0,0,3,5,,,,,1,0,16-May,7,2,,,,,,,,,5/16 dead put in freezer 
39,219,1,4,25,11-May,NH,3,1,0,2,4,7,11,28,31,0,0,,,,0.1179,0.0795,0.0797,0.0777,,1,2/11/21,M,
39,220,1,7,25,11-May,NH,4,0,0,4,5,7,11,27,31,0,0,,,,0.1101,0.0768,0.0766,0.0725,,1,2/11/21,M,
39,221,1,7,25,11-May,NH,5,0,0,4,5,8,11,27,32,0,0,,,,0.1002,0.0703,0.0695,0.0653,,1,2/14/21,M,
41,223,1,4,25,15-May,C2,1,1,0,2,4,9,20,28,32,0,0,,,,0.1375,0.1053,0.1027,0.1017,,1,2/22/21,M,
40,222,1,7,25,15-May,C1,1,1,0,5,6,8,22,,,1,0,12-Jun,28,5,,,,,,,,,"6/12 black , died"
41,224,1,7,25,15-May,C2,2,0,0,3,5,9,21,27,32,0,1,,,8,0.0872,0.0626,0.0634,0.0612,,0,,M,
41,225,1,7,25,15-May,C2,3,0,0,4,6,9,22,29,32,0,0,,,,0.0805,0.0632,0.0652,0.066,,1,2/19/21,M,
6,26,1,7,25,24-Apr,SH,2,1,0,6,,,,,,1,0,4-May,10,0,,0.0799,,,,,,,stayed egg :( 5/4
